,location,total_sqft,bath,price,bhk,encoded_loc
0,Electronic City Phase II,1056.0,2,39.07,2,69
1,Chikka Tirupathi,2600.0,5,120.0,4,54
2,Uttarahalli,1440.0,2,62.0,3,206
3,Kothanur,1200.0,2,51.0,2,137
4,Whitefield,1170.0,2,38.0,2,215
5,Marathahalli,1310.0,3,63.25,3,150
6,Whitefield,1800.0,2,70.0,3,215
7,7th Phase JP Nagar,1000.0,2,38.0,2,6
8,Gottigere,1100.0,2,40.0,2,75
9,Bisuvanahalli,1180.0,3,48.0,3,45
10,Raja Rajeshwari Nagar,1540.0,3,60.0,3,178
11,Others,1100.0,2,48.0,2,168
12,Others,510.0,1,25.25,1,168
13,Others,1250.0,3,56.0,3,168
14,Electronic City,660.0,1,23.1,2,68
15,Whitefield,1610.0,3,81.0,3,215
16,Ramagondanahalli,1151.0,2,48.77,2,180
17,Electronic City,1025.0,2,47.0,3,68
18,Yelahanka,3525.0,4,186.0,4,217
19,Bisuvanahalli,1075.0,2,35.0,3,45
20,Raja Rajeshwari Nagar,1693.0,3,57.39,3,178
21,Kanakpura Road,700.0,2,36.0,2,119
22,Electronics City Phase 1,1070.0,2,45.5,2,70
23,Chikkalasandra,1290.0,2,56.12,3,56
24,Uttarahalli,1143.0,2,45.0,2,206
25,Sarjapur  Road,1254.0,3,38.0,3,186
26,Doddathoguru,970.0,2,33.0,2,65
27,Others,869.0,2,36.0,2,168
28,Others,1270.0,2,50.0,2,168
29,Whitefield,2010.0,3,91.0,3,215
30,Yelahanka,1600.0,2,75.0,3,217
31,Begur Road,1200.0,2,44.0,2,39
32,Devanahalli,4715.0,2,192.0,4,61
33,Others,840.0,2,45.0,2,168
34,Others,4395.0,3,240.0,3,168
35,Varthur,1160.0,2,44.0,2,207
36,Gunjur,1140.0,2,43.0,2,78
37,Marathahalli,1220.0,2,57.0,2,150
38,Kanakpura Road,1005.0,2,36.68,2,119
39,Kothannur,1206.0,2,48.23,2,136
40,Kalena Agrahara,1150.0,2,40.0,2,113
41,Hennur Road,4682.0,2,224.5,4,88
42,Garudachar Palya,1325.0,2,60.8,3,73
43,Kanakpura Road,1665.0,3,88.0,3,119
44,Dasanapura,708.0,2,37.0,2,59
45,Kasavanhalli,1060.0,2,58.06,2,122
46,Electronic City,1000.0,2,28.88,2,68
47,Others,1450.0,2,70.0,3,168
48,Sarjapura - Attibele Road,1330.0,2,48.0,3,187
49,Others,1200.0,2,65.0,2,168
50,Others,1007.0,2,43.0,2,168
51,Others,1200.0,2,50.0,2,168
52,Others,966.0,2,49.9,2,168
53,Devanahalli,1260.0,2,66.78,2,61
54,Others,1413.0,2,75.0,3,168
55,Whitefield,1116.0,2,51.91,2,215
56,Electronic City,1530.0,2,45.9,3,68
57,Kengeri,1540.0,2,64.0,3,127
58,Thanisandra,1436.0,3,74.75,3,200
59,Devanahalli,1282.0,2,68.52,3,61
60,Kadugodi,1050.0,2,34.0,2,109
61,LB Shastri Nagar,1600.0,3,65.0,3,142
62,Hormavu,1500.0,2,78.0,2,92
63,Sarjapur,1600.0,3,75.0,3,185
64,Kudlu Gate,1535.0,3,83.0,3,139
65,Devanahalli,1360.0,2,65.0,2,61
66,8th Phase JP Nagar,1594.5,2,54.005,2,7
67,Bommasandra Industrial Area,1280.0,3,50.4,3,48
68,Anandapura,1167.0,2,43.76,2,14
69,Kengeri Satellite Town,890.0,2,35.0,2,128
70,Others,1612.0,3,46.74,3,168
71,Mysore Road,1710.0,4,91.31,3,155
72, Devarachikkanahalli,1250.0,2,44.0,3,0
73,Hulimavu,1125.0,2,50.0,2,97
74,Electronic City Phase II,1020.0,2,30.6,2,69
75,Kalena Agrahara,1200.0,2,50.0,2,113
76,Others,1350.0,2,48.0,3,168
77,Hosa Road,1063.0,2,32.0,2,93
78,Others,1425.0,2,75.0,3,168
79,Electronic City,1500.0,2,64.5,3,68
80,Others,1470.0,2,70.0,3,168
81,Electronic City,1350.0,2,56.0,3,68
82,CV Raman Nagar,1550.0,3,65.0,3,51
83,Nagavara,400.0,1,14.0,1,160
84,Electronic City,770.0,1,36.0,2,68
85,Hulimavu,1242.0,2,51.0,2,97
86,Electronic City,1070.0,2,52.0,2,68
87,Others,1340.0,2,55.7,2,168
88,Electronic City,1025.0,2,46.0,2,68
89,KR Puram,1785.0,2,56.8,2,107
90,Marathahalli,1200.0,2,52.0,2,150
91,Kanakpura Road,2250.0,4,110.0,4,119
92,Pattandur Agrahara,1550.0,2,80.0,3,173
93,Marathahalli,1200.0,2,60.0,2,150
94,Kothanur,1186.0,2,58.0,2,137
95,HSR Layout,1400.0,3,56.0,3,81
96,Nagasandra,980.0,2,48.0,2,159
97,Whitefield,1225.0,2,47.6,2,215
98,Whitefield,1075.0,2,53.0,2,215
99,Kadugodi,1260.0,2,54.0,3,109
100,Yelahanka,1282.0,2,48.7,3,217
101,Kogilu,1909.0,3,88.0,3,133
102,Others,1207.0,2,43.5,2,168
103,Kammasandra,1595.0,3,65.0,3,117
104,Others,1798.0,3,89.0,3,168
105,Electronics City Phase 1,1475.0,3,78.29,3,70
106,Dasarahalli,1295.0,2,65.0,2,60
107,Magadi Road,3600.0,6,141.0,6,146
108,Electronic City,589.0,1,27.0,1,68
109,Sarjapur  Road,1787.0,3,98.29,3,186
110,Others,2000.0,4,75.5,4,168
111,Sarjapur  Road,984.0,2,44.28,2,186
112,Devanahalli,2390.0,2,74.82,3,61
113,Budigere,1153.0,2,56.4,2,50
114,Others,1148.0,2,60.0,2,168
115,Others,1110.0,2,55.0,2,168
